"grid","avg_positions_gained","races"
1,-4.6637323943662,1136
2,-4.61155555555556,1125
3,-4.50530973451327,1130
4,-4.23144876325088,1132
5,-4.13604240282686,1132
6,-3.57422222222222,1125
7,-3.06696035242291,1135
8,-2.68821966341896,1129
9,-1.80388692579505,1132
10,-1.71238938053097,1130
11,-1.03798586572438,1132
12,-0.102928127772848,1127
13,0.245333333333333,1125
14,0.728571428571429,1120
15,1.48517520215633,1113
16,2.34181818181818,1100
17,2.75665748393021,1089
18,3.20666666666667,1050
19,4.16294859359845,1031
20,4.79179487179487,975
21,5.05595408895265,697
22,6.21951219512195,656
23,6.75275938189845,453
24,7.26573426573427,429
25,8.75415282392027,301
26,9.06854838709677,248
27,7.32608695652174,46
28,8.56666666666667,30
29,7.76,25
30,7.21052631578947,19
31,11.9444444444444,18
32,15.4705882352941,17
33,13.5384615384615,13
34,12,1
